interest_rate,debt_to_income,term,loan_amount,verified_income,application_type,grade,balance,paid_total,paid_interest,paid_principal,paid_late_fees
16.02,22,36,15000,Source Verified,individual,C,13319.42,2604.17,923.59,1680.58,0
14.07,9.63,60,40000,Not Verified,individual,C,38594.07,2734.04,1328.11,1405.93,0
21.45,10.89,36,1500,Verified,individual,D,1376.55,225.65,102.2,123.45,0
6.08,18.22,36,3500,Not Verified,individual,A,3141.78,425.26,67.04,358.22,0
6.71,12.03,36,21000,Source Verified,individual,A,19940.62,1275.62,216.24,1059.38,0
15.04,27.84,36,14650,Source Verified,individual,C,13996.88,1004.04,350.92,653.12,0
18.45,31.92,60,20000,Source Verified,individual,D,19374.64,1497.34,871.98,625.36,0
18.45,23.2,60,12000,Not Verified,individual,D,11495.84,1218.38,714.22,504.16,0
13.59,18.66,60,20000,Verified,individual,C,18799.98,2290.55,1090.53,1200.02,0
13.58,12.67,36,24000,Source Verified,individual,C,21787.68,3243.41,1031.09,2212.32,0
13.59,6.58,60,30000,Not Verified,joint,C,27790.51,3835.8,1626.31,2209.49,0
15.05,5.61,36,8000,Verified,individual,C,7277.81,1103.39,381.2,722.19,0
7.34,16,60,40000,Verified,joint,A,38328.35,2379.16,707.51,1671.65,0
19.03,24.91,60,15000,Not Verified,individual,D,14218.17,1907.15,1125.32,781.83,0
19.42,14.49,60,32000,Verified,individual,D,31355.52,1761.35,1116.87,644.48,0
9.92,9.31,36,8500,Source Verified,individual,B,7883.85,824.23,208.08,616.15,0
7.97,30.71,36,16000,Source Verified,joint,A,13999.08,2498.77,497.85,2000.92,0
9.44,24.27,36,10000,Not Verified,individual,B,9023.01,1274.96,297.97,976.99,0
7.96,36.19,36,12000,Not Verified,individual,A,11105.43,1122.15,227.58,894.57,0
15.05,2.51,60,12500,Verified,individual,C,11925.55,1180.39,605.94,574.45,0
7.35,8.99,36,1000,Not Verified,individual,A,873.89,154.38,28.27,126.11,0
7.35,2.28,36,40000,Source Verified,individual,A,34956.09,6166.67,1122.76,5043.91,0
18.06,22.79,60,35000,Not Verified,individual,D,33128.66,4637.24,2765.9,1871.34,0
13.59,8.92,36,6200,Not Verified,individual,C,5442.75,1018,260.75,757.25,0
6.71,18.68,36,15000,Not Verified,individual,A,13861.74,1377.95,239.69,1138.26,0
6.08,15.18,36,6000,Not Verified,individual,A,5230.49,908.68,139.17,769.51,0
17.47,31.37,36,5000,Not Verified,individual,D,4675.37,528.61,203.98,324.63,0
15.05,0.27,60,40000,Verified,individual,C,38161.85,3777.16,1939.01,1838.15,0
7.34,11.37,60,19000,Not Verified,individual,A,18205.97,1122.34,328.31,794.03,0
12.61,16.34,36,10000,Not Verified,individual,C,9302.76,998.2,300.96,697.24,0
7.35,37.3,36,39600,Source Verified,joint,A,34606.5,6129.28,1135.78,4993.5,0
9.93,13.38,60,16000,Source Verified,individual,B,15161.63,1348.81,510.44,838.37,0
18.45,24.72,36,6000,Source Verified,individual,D,5616.07,648.69,264.76,383.93,0
18.06,10.67,36,6000,Not Verified,individual,D,5481.23,862.38,343.61,518.77,0
20.39,43.57,36,25000,Source Verified,joint,D,23972.79,1811.5,784.29,1027.21,0
7.35,0.17,36,40000,Source Verified,individual,A,0,40466.027536259,466.03,40000,0
16.02,17.39,60,25200,Source Verified,individual,C,23779.21,3188.81,1768.02,1420.79,0
5.32,18.74,36,10000,Not Verified,individual,A,8704.48,1502.79,207.27,1295.52,0
12.62,29.11,60,30000,Source Verified,individual,C,0,30013.6750000001,13.68,30000,0
10.9,13.04,60,30000,Source Verified,individual,B,28856.21,1934.17,790.38,1143.79,0
13.59,3.36,36,35000,Source Verified,individual,C,30944.76,5893.45,1838.21,4055.24,0
6.07,17.96,36,25000,Not Verified,individual,A,22441.1,3036.97,478.07,2558.9,0
10.9,32.29,36,5000,Not Verified,individual,B,4642.64,487.35,129.99,357.36,0
10.9,6.72,36,8000,Verified,individual,B,0,8141.5294346127,141.53,8000,0
16.02,25.65,36,35000,Verified,individual,C,35000,0,0,0,0
7.97,23.47,36,28000,Verified,individual,A,18432.5,10372.8,805.3,9567.5,0
6.72,20.22,36,2500,Not Verified,individual,A,2182.06,382.53,64.59,317.94,0
17.09,23.35,36,5600,Verified,individual,D,4981.86,994.23,376.09,618.14,0
12.61,22.44,36,13000,Not Verified,individual,C,11644.64,1724.56,369.2,1355.36,0
9.44,26.43,36,14400,Verified,individual,B,12634.44,2296.85,531.29,1765.56,0
13.59,34.09,36,10100,Source Verified,individual,C,9405.77,1021.94,327.71,694.23,0
19.03,29.22,36,7400,Source Verified,individual,D,6605.09,1349.03,554.12,794.91,0
9.44,25.07,36,14000,Source Verified,individual,B,12632.22,1784.94,417.16,1367.78,0
9.44,24.91,36,20000,Source Verified,individual,B,17547.89,3190.01,737.9,2452.11,0
16.02,11.26,60,40000,Source Verified,individual,C,37744.84,4794.55,2539.39,2255.16,0
14.07,32.56,36,4000,Not Verified,individual,C,3726.97,407.42,134.39,273.03,0
6.72,21.89,36,10400,Verified,individual,A,9077.47,1595.12,272.59,1322.53,0
7.97,20.4,36,16000,Verified,individual,A,13999.08,2491.68,490.76,2000.92,0
22.91,11.45,60,17550,Verified,individual,E,16725.2,2446.86,1622.06,824.8,0
17.47,15.61,60,12000,Not Verified,individual,D,11614.7,892.19,506.89,385.3,0
14.08,16.11,36,7000,Verified,individual,C,6360.23,952.6,312.83,639.77,0
18.06,10.94,36,19000,Source Verified,individual,D,17357.3,2730.82,1088.12,1642.7,0
9.93,27.22,36,25000,Not Verified,joint,B,0,25008.9662500001,8.97,25000,0
23.88,16.14,60,30000,Source Verified,individual,E,28912.22,3205.04,2117.26,1087.78,0
13.59,30.88,36,1825,Not Verified,individual,C,1699.53,184.68,59.21,125.47,0
7.96,17.88,36,8300,Source Verified,individual,A,7888.94,512.66,101.6,411.06,0
5.31,2.53,36,10000,Not Verified,individual,A,9485.14,599.27,84.41,514.86,0
6.08,11.18,36,7000,Not Verified,individual,A,6102.23,1060.14,162.37,897.77,0
14.08,11.8,36,3500,Source Verified,individual,C,3097.19,596.06,193.25,402.81,0
7.34,20.4,36,12000,Source Verified,individual,A,0,12102.4085695197,102.41,12000,0
18.06,20.23,60,10200,Source Verified,individual,D,9655.18,1321.81,776.99,544.82,0
6,22.27,36,8000,Source Verified,individual,A,7179.49,973.23,152.72,820.51,0
13.59,22.77,60,13000,Source Verified,individual,C,12537.25,963.02,500.27,462.75,0
18.06,16.56,60,11000,Source Verified,individual,D,10533.03,1096.69,629.72,466.97,0
14.07,22.4,36,13000,Source Verified,individual,C,12112.67,1349.53,462.2,887.33,0
13.58,9.62,60,10000,Not Verified,individual,C,9643.94,676.47,320.41,356.06,0
7.35,25.25,36,4500,Not Verified,individual,A,3932.55,696.51,129.06,567.45,0
9.43,26.69,36,8500,Source Verified,individual,B,7879.51,811.58,191.09,620.49,0
21.45,38.09,60,18000,Source Verified,individual,D,17302.45,1944.67,1247.12,697.55,0
11.99,21.62,60,23000,Not Verified,individual,B,21563.06,2542.23,1105.29,1436.94,0
24.84,17.65,60,30000,Source Verified,joint,E,29213.75,2653.01,1866.76,786.25,0
6.72,13.62,36,22000,Source Verified,individual,A,19202.39,3366.02,568.41,2797.61,0
9.44,3.96,36,15000,Not Verified,individual,B,13160.89,2380.73,541.62,1839.11,0
5.32,13.35,36,24000,Source Verified,individual,A,20890.75,3599.61,490.36,3109.25,0
9.43,9.75,36,10000,Not Verified,individual,B,9270.01,954.79,224.8,729.99,0
15.05,16.52,36,15000,Source Verified,individual,C,13645.89,2106.49,752.38,1354.11,0
9.93,5.27,36,10000,Source Verified,individual,B,8782.01,1597.96,379.97,1217.99,0
30.65,34.39,60,11450,Not Verified,individual,F,11282.71,730.58,563.29,167.29,0
11.98,11.14,36,5000,Source Verified,individual,B,4648.17,491.43,139.6,351.83,0
14.08,20.75,36,14000,Source Verified,individual,C,12388.76,2384.25,773.01,1611.24,0
19.03,11.14,36,4000,Not Verified,individual,D,3658.97,578.3,237.27,341.03,0
6.72,37.21,36,5000,Not Verified,individual,A,4364.17,766.88,131.05,635.83,0
21.45,10.39,60,20000,Not Verified,individual,D,19022.42,2683.08,1705.5,977.58,0
10.41,19.76,36,20000,Verified,joint,B,18560.45,1970.77,531.22,1439.55,0
11.98,3.21,36,9000,Source Verified,individual,B,8139.2,1086.35,225.55,860.8,0
12.62,25.3,36,10000,Verified,individual,C,9065.57,1350.6,416.17,934.43,0
7.97,23.12,36,4000,Source Verified,individual,A,3601.11,497.66,98.77,398.89,0
10.91,12.98,36,4800,Not Verified,individual,B,4223.05,792.37,215.42,576.95,0
6.72,18.85,36,12000,Source Verified,individual,A,10782.62,1480.48,263.1,1217.38,0
15.05,13.08,36,6000,Source Verified,individual,C,5318.67,1053.94,372.61,681.33,0
19.03,10.13,36,10000,Source Verified,individual,D,8925.78,1823.03,748.81,1074.22,0
13.58,23.81,60,30700,Source Verified,joint,C,29606.98,2099.85,1006.83,1093.02,0
13.58,17.14,36,10000,Not Verified,individual,C,9312.56,959.89,272.45,687.44,0
13.59,19.42,60,12600,Not Verified,individual,C,11843.99,1443.04,687.03,756.01,0
9.93,33.36,36,13200,Not Verified,individual,B,11919.13,1694.72,413.85,1280.87,0
10.91,31.58,36,12175,Source Verified,individual,B,10711.69,2010.43,547.12,1463.31,0
9.44,14.22,60,35000,Source Verified,joint,B,32670.1,3651.84,1321.94,2329.9,0
7.97,10.59,36,5000,Source Verified,individual,A,4374.69,780.89,155.58,625.31,0
24.85,26.13,60,12000,Verified,joint,E,11576.39,1388.11,964.5,423.61,0
6.08,35.13,36,20000,Not Verified,individual,A,17953.16,2429.92,383.08,2046.84,0
9.44,23.04,36,40000,Source Verified,individual,B,35095.78,6359.04,1454.82,4904.22,0
5.32,16.21,36,6000,Not Verified,individual,A,5379.53,719.21,98.74,620.47,0
15.04,3.64,60,11200,Source Verified,individual,C,10685.15,1057.4,542.55,514.85,0
6.72,6.33,36,10500,Source Verified,individual,A,9434.81,1287.56,222.37,1065.19,0
11.98,17.7,36,7000,Source Verified,individual,B,6507.45,692.66,200.11,492.55,0
19.03,10.89,36,12000,Verified,individual,D,10710.96,2174.93,885.89,1289.04,0
13.59,24.2,36,12000,Not Verified,individual,C,10893.99,1626.47,520.46,1106.01,0
10.9,17.98,60,30000,Source Verified,individual,B,28854.82,1934.17,788.99,1145.18,0
13.58,16.44,60,40000,Source Verified,individual,C,38575.85,2751.06,1326.91,1424.15,0
15.04,24.76,36,5400,Verified,individual,C,5036.62,552.88,189.5,363.38,0
7.34,12.5,36,5000,Source Verified,individual,A,4750.06,306.26,56.32,249.94,0
13.58,21.48,36,25000,Not Verified,individual,C,23281.4,2529.19,810.59,1718.6,0
21.45,12.67,60,30000,Source Verified,individual,D,28533.66,4006.72,2540.38,1466.34,0
6.07,10.54,36,15000,Source Verified,individual,A,13851.4,1365.37,216.77,1148.6,0
10.42,14.46,36,5400,Source Verified,individual,B,4746.65,873.42,220.07,653.35,0
6.71,23.48,36,6000,Not Verified,individual,A,5697.32,366.7,64.02,302.68,0
7.34,9.42,36,4000,Source Verified,individual,A,3800.04,246.65,46.69,199.96,0
11.99,19.99,60,17500,Source Verified,individual,B,16406.68,1969.27,875.95,1093.32,0
6.72,9.51,36,5000,Verified,individual,A,4364.17,754.75,118.92,635.83,0
13.58,17.62,36,16000,Not Verified,individual,C,14900.08,1606.63,506.71,1099.92,0
17.09,3.45,60,12000,Source Verified,individual,D,11477.29,1166.8,644.09,522.71,0
6.07,13.4,36,40000,Source Verified,individual,A,36937.11,3640.96,578.07,3062.89,0
7.96,24.6,36,8000,Verified,individual,A,0,8077.0406829998,77.04,8000,0
9.92,31.35,36,14400,Not Verified,joint,B,13356.21,1384.39,340.6,1043.79,0
16.01,25.05,36,35000,Source Verified,individual,C,31883.47,4673.64,1557.11,3116.53,0
11.99,14.02,36,12000,Verified,individual,B,10868.71,1586.09,454.8,1131.29,0
10.9,9.04,36,6000,Not Verified,individual,B,5571.18,581.18,152.36,428.82,0
12.62,34.43,36,18000,Not Verified,joint,C,16318.06,2463.32,781.38,1681.94,0
16.02,44.66,36,16000,Source Verified,joint,C,14207.37,2799.16,1006.53,1792.63,0
6.72,14.76,36,3600,Not Verified,individual,A,3142.19,556.98,99.17,457.81,0
14.08,14.44,36,11000,Verified,individual,C,9734.02,1873.35,607.37,1265.98,0
6.07,26.58,36,17000,Not Verified,individual,A,15698.25,1547.43,245.68,1301.75,0
9.43,17.56,36,10000,Source Verified,individual,B,9515.25,634.78,150.03,484.75,0
9.93,17.93,36,4300,Source Verified,individual,B,3776.27,687.12,163.39,523.73,0
10.42,11.97,36,14000,Not Verified,individual,B,12306.12,2207.72,513.84,1693.88,0
12.62,2.59,36,4000,Verified,joint,C,3626.22,533.4,159.62,373.78,0
19.03,34.01,36,12450,Verified,individual,D,11112.63,2269.64,932.27,1337.37,0
10.41,9.03,36,35000,Source Verified,joint,B,32483,3367.85,850.85,2517,0
7.97,9.54,36,3000,Source Verified,individual,A,2624.82,468.52,93.34,375.18,0
16.02,19.59,36,4800,Source Verified,individual,C,4262.17,805.61,267.78,537.83,0
11.98,13.9,36,20000,Verified,individual,B,19066.5,1301.58,368.08,933.5,0
10.91,35.75,36,20000,Not Verified,individual,B,17596.2,3257.53,853.73,2403.8,0
14.07,22.95,60,16000,Not Verified,individual,C,15245.74,1479.01,724.75,754.26,0
12.62,5.28,60,39000,Verified,joint,C,36601.79,4371.71,1973.5,2398.21,0
11.99,56.17,60,25000,Not Verified,joint,B,23438.11,2746.64,1184.75,1561.89,0
7.96,13.07,36,19000,Not Verified,individual,A,13331.95,5983.35,315.3,5668.05,0
15.05,18.87,36,6000,Source Verified,individual,C,5318.67,1035.68,354.35,681.33,0
12.61,19.85,60,16000,Not Verified,individual,C,15612.5,749.76,362.26,387.5,0
12.61,11.18,60,14000,Not Verified,individual,C,13660.94,621.71,282.65,339.06,0
13.59,13.67,36,4800,Not Verified,individual,C,4357.6,643.34,200.94,442.4,0
11.98,55.33,36,32025,Verified,joint,B,30530.23,2158.51,663.74,1494.77,0
13.58,3.06,36,10000,Not Verified,individual,C,9312.56,1011.68,324.24,687.44,0
15.05,7.85,36,17000,Verified,individual,C,15465.34,2344.71,810.05,1534.66,0
10.9,21.2,60,20000,Not Verified,joint,B,19236.52,1210.75,447.27,763.48,0
6.08,15.19,36,3500,Not Verified,individual,A,3141.78,424.08,65.86,358.22,0
5.32,14.99,36,17000,Source Verified,individual,A,14797.59,2554.78,352.37,2202.41,0
16.02,11.76,36,10000,Source Verified,individual,C,8879.63,1749.45,629.08,1120.37,0
9.92,20.28,36,25000,Source Verified,individual,B,23187.85,2403.47,591.32,1812.15,0
6.72,13.01,36,4800,Not Verified,individual,A,4313.05,588.61,101.66,486.95,0
9.43,12.14,36,12000,Source Verified,individual,B,11124.02,1139.46,263.48,875.98,0
19.03,30.46,36,35000,Source Verified,joint,D,32016.12,5097,2113.12,2983.88,0
18.45,18.61,36,3200,Source Verified,individual,D,2995.22,342.7,137.92,204.78,0
5.32,15.1,36,12000,Not Verified,individual,A,7180.69,4999.97,180.66,4819.31,0
15.05,15.23,36,5000,Source Verified,individual,C,4432.23,856.8,289.03,567.77,0
9.44,9.83,36,1000,Not Verified,individual,B,902.28,127.52,29.8,97.72,0
20.39,9.92,36,33750,Verified,individual,D,32363.28,2483.75,1097.03,1386.72,0
16.01,22.12,60,14400,Verified,individual,C,13919.22,1025.16,544.38,480.78,0
20.39,NA,36,30400,Not Verified,joint,D,28510.4,3373.05,1483.45,1889.6,0
13.59,24.7,60,24000,Source Verified,individual,C,22560,2748.63,1308.63,1440,0
16.02,17.42,60,16800,Not Verified,individual,C,16047.29,1619.97,867.26,752.71,0
17.47,20.44,36,1800,Verified,individual,D,1423.8,442.05,65.85,376.2,0
16.02,31.72,60,36000,Verified,individual,C,34387.1,3471.32,1858.42,1612.9,0
20,8.9,36,10000,Not Verified,individual,D,9159.37,1486.57,645.94,840.63,0
10.9,14.48,60,16000,Not Verified,individual,B,15389.21,1050.96,440.17,610.79,0
26.77,26.31,60,30000,Verified,individual,E,29509.19,1734.67,1243.86,490.81,0
9.93,2.91,36,24000,Source Verified,individual,B,21671.17,3081.28,752.45,2328.83,0
6.08,17.99,60,28000,Source Verified,individual,A,25977.09,2692.93,670.02,2022.91,0
14.08,29.26,60,15000,Not Verified,individual,C,14293.08,1375.13,668.21,706.92,0
13.59,25.1,36,5000,Not Verified,individual,C,4539.23,700.36,239.59,460.77,0
6.08,24.37,36,16000,Source Verified,joint,A,13947.94,2425.89,373.83,2052.06,0
6.07,18.36,36,35000,Verified,individual,A,32319.97,3185.84,505.81,2680.03,0
12.62,9.08,36,30150,Not Verified,individual,C,27332.78,4020.34,1203.12,2817.22,0
12.62,15.21,60,15000,Source Verified,individual,C,14265.96,1332.53,598.49,734.04,0
11.98,28.06,36,18000,Verified,individual,B,16733.47,1769.11,502.58,1266.53,0
13.59,17.99,36,26000,Source Verified,individual,C,22987.54,4368.17,1355.71,3012.46,0
23.88,35.57,36,10000,Source Verified,individual,E,8997.38,1925.33,922.71,1002.62,0
13.59,13.66,60,16800,Not Verified,individual,C,15791.98,1924.07,916.05,1008.02,0
10.9,9.32,36,9800,Verified,individual,B,8252.5,1784.27,236.77,1547.5,0
9.93,6.43,36,16000,Verified,individual,B,14447.46,2054.17,501.63,1552.54,0
6.08,16.04,36,10000,Not Verified,individual,A,8976.56,1211.6,188.16,1023.44,0
10.41,5.92,36,10000,Source Verified,individual,B,9280.21,968.05,248.26,719.79,0
12.62,17.14,36,2500,Not Verified,individual,C,2206.45,414.52,120.97,293.55,0
13.58,22.47,36,8000,Source Verified,individual,C,0,8003.5620888946,3.56,8000,0
13.58,18.27,36,10000,Source Verified,individual,C,9312.56,1011.68,324.24,687.44,0
7.97,13.51,36,40000,Source Verified,individual,A,34997.78,6246.84,1244.62,5002.22,0
10.42,22.26,36,12000,Source Verified,individual,B,10843.53,1551.37,394.9,1156.47,0
9.43,22.82,60,17000,Not Verified,individual,B,16552.51,695.11,247.62,447.49,0
10.91,14.98,36,12000,Source Verified,individual,B,10557.71,1954.53,512.24,1442.29,0
19.03,22.34,36,11000,Source Verified,individual,D,9818.37,2005.32,823.69,1181.63,0
9.44,3.88,36,2500,Not Verified,individual,B,2193.45,398.79,92.24,306.55,0
5.31,1.27,36,40000,Verified,individual,A,36904.08,3601.46,505.54,3095.92,0
7.35,3.02,60,31000,Source Verified,individual,A,28828.08,3082.19,910.27,2171.92,0
26.77,11.61,60,16000,Verified,individual,E,15602.96,1435.31,1038.27,397.04,0
25.82,24.2,60,16000,Source Verified,joint,E,15305.33,2329.37,1634.7,694.67,0
10.91,9.41,36,16000,Not Verified,individual,B,14468.58,2082.86,551.44,1531.42,0
18.06,10.47,36,30000,Verified,individual,D,0,30135.4500000945,135.45,30000,0
14.08,6.93,36,15000,Source Verified,individual,C,13273.71,2554.52,828.23,1726.29,0
12.61,50.51,60,22000,Not Verified,joint,C,21196.6,1457.75,654.35,803.4,0
9.44,21.17,60,30000,Source Verified,joint,B,28408.62,2500.99,909.61,1591.38,0
21.85,7.13,60,10000,Source Verified,individual,D,9811.79,538.54,350.33,188.21,0
7.96,1,36,6000,Source Verified,individual,A,5702.8,370.51,73.31,297.2,0
10.42,6.46,36,13500,Source Verified,individual,B,11866.6,2175.77,542.37,1633.4,0
16.02,24.19,36,10000,Source Verified,individual,C,9109.69,1397.78,507.47,890.31,0
12.61,36.54,36,13000,Verified,individual,C,12398.89,862.07,260.96,601.11,0
13.59,26.16,36,6000,Source Verified,individual,C,5446.97,810.99,257.96,553.03,0
20,26.73,60,19200,Verified,individual,D,18224.57,2362.12,1386.69,975.43,0
20,9.41,60,35000,Verified,individual,D,33221.93,4558.67,2780.6,1778.07,0
15.04,18.73,36,20225,Source Verified,individual,C,18864.01,2087.63,726.64,1360.99,0
18.45,35.44,60,14000,Not Verified,individual,D,13562.24,1062.5,624.74,437.76,0
16.01,9.09,36,8000,Source Verified,individual,C,7469.28,836.78,306.06,530.72,0
12.61,6.58,60,10000,Not Verified,individual,C,9757.82,437.07,194.89,242.18,0
23.88,26.86,60,10000,Not Verified,individual,E,0,10660.97766433,645.98,10000,15
15.04,29.28,36,25000,Source Verified,individual,C,23317.7,2580.5,898.2,1682.3,0
6.72,16.74,36,6000,Source Verified,joint,A,5544.76,549.02,93.78,455.24,0
10.41,21.21,36,32000,Source Verified,individual,B,29696.74,3097.68,794.42,2303.26,0
14.07,18.94,60,32000,Source Verified,individual,C,30834.37,2252.24,1086.61,1165.63,0
6.07,13.26,36,5000,Not Verified,individual,A,4617.13,455.12,72.25,382.87,0
13.58,8.67,60,20000,Not Verified,individual,C,19287.91,1368,655.91,712.09,0
5.31,15.86,36,6000,Verified,individual,A,5535.59,540.24,75.83,464.41,0
17.09,10.8,60,16000,Source Verified,individual,D,15124.28,1996.83,1101.19,875.72,19.92
10.41,9.36,36,12000,Source Verified,individual,B,11136.26,1154.71,290.97,863.74,0
7.34,47.67,36,30000,Source Verified,joint,A,28500.44,1880.34,380.78,1499.56,0
9.43,NA,36,27800,Verified,joint,B,25764.48,2661.27,625.75,2035.52,0
17.09,20.46,60,35000,Source Verified,individual,D,33400,3348.21,1748.21,1600,0
11.99,26.96,36,35000,Source Verified,individual,B,30854.83,5788.39,1643.22,4145.17,0
5.31,9.42,36,12000,Not Verified,individual,A,11071.21,1080.45,151.66,928.79,0
14.08,39.39,36,25000,Not Verified,individual,C,22122.84,4257.54,1380.38,2877.16,0
28.72,25.28,60,20000,Verified,individual,F,19366.62,2493.85,1860.47,633.38,0
5.31,0.83,36,10000,Not Verified,individual,A,9226.01,900.38,126.39,773.99,0
13.58,11.97,60,15000,Source Verified,joint,C,14283.88,1360.45,644.33,716.12,0
7.96,10.81,36,20000,Source Verified,individual,A,18509.07,1870.24,379.31,1490.93,0
6.08,19.16,36,10000,Not Verified,individual,A,8095.41,2125.78,221.19,1904.59,0
10.42,59.71,36,35000,Verified,joint,B,31626.97,4524.82,1151.79,3373.03,0
9.44,20.7,60,20000,Not Verified,individual,B,18668.58,2076.32,744.9,1331.42,0
10.91,1.16,36,12000,Verified,individual,B,0,12004.9128333332,4.91,12000,0
15.04,5.1,36,1200,Not Verified,individual,C,1146.49,82.26,28.75,53.51,0
5.32,10.96,36,15000,Not Verified,individual,A,13448.8,1802.49,251.29,1551.2,0
9.44,20.16,60,19600,Source Verified,joint,B,18560.28,1634,594.28,1039.72,0
14.07,23.63,36,7000,Not Verified,individual,C,6522.2,693.85,216.05,477.8,0
6.72,16.98,36,25000,Not Verified,individual,A,21820.89,3834.37,655.26,3179.11,0
15.05,19.09,36,5000,Not Verified,individual,C,4548.62,700.08,248.7,451.38,0
14.08,12.18,36,20000,Source Verified,individual,C,16815.37,4037.35,852.72,3184.63,0
9.44,22.01,36,7000,Source Verified,individual,B,6316.09,892.49,208.58,683.91,0
20.39,15.9,36,10000,Source Verified,individual,D,9589.11,724.6,313.71,410.89,0
9.44,0.38,60,30000,Source Verified,individual,B,28002.93,3114.43,1117.36,1997.07,0
5.32,14.05,36,16000,Source Verified,individual,A,13927.17,2399.74,326.91,2072.83,0
6.72,13.89,36,12000,Not Verified,individual,A,10782.62,1500.64,283.26,1217.38,0
17.47,23.26,60,35000,Verified,individual,D,0,36559.5592160588,1559.56,35000,0
10.41,8.56,36,40000,Not Verified,individual,B,37120.94,3848.96,969.9,2879.06,0
9.43,12.1,60,16000,Source Verified,individual,B,15553.63,712.71,266.34,446.37,0
9.43,17.56,36,3000,Source Verified,individual,B,2780.98,286.46,67.44,219.02,0
10.42,66.59,60,25000,Source Verified,joint,B,23375.64,2667.06,1042.7,1624.36,0
10.9,29.92,36,6500,Source Verified,individual,B,6035.43,633.56,168.99,464.57,0
9.93,26.16,60,40000,Verified,individual,B,38434.59,2684.66,1119.25,1565.41,0
13.59,31.49,36,7000,Not Verified,individual,C,6354.8,946.16,300.96,645.2,0
9.93,20.42,36,20000,Not Verified,individual,B,18059.32,2551.18,610.5,1940.68,0
10.42,24.28,36,12000,Source Verified,individual,B,10843.53,1551.37,394.9,1156.47,0
16.01,16.5,36,16000,Source Verified,individual,C,14938.56,1673.57,612.13,1061.44,0
10.42,20.02,60,13000,Not Verified,individual,B,12155.32,1387.02,542.34,844.68,0
7.96,24.04,36,12000,Not Verified,individual,A,11405.6,746.33,151.93,594.4,0
9.44,16.78,60,10000,Not Verified,individual,B,9469.53,833.68,303.21,530.47,0
10.91,16.5,60,20000,Source Verified,individual,B,18977.65,1639.79,617.44,1022.35,0
6.07,21.68,60,30000,Source Verified,individual,A,28705.82,1722.68,428.5,1294.18,0
7.35,13.08,36,25000,Source Verified,individual,A,21847.54,3859.28,706.82,3152.46,0
9.43,10.5,60,30000,Source Verified,individual,B,28588.97,2137.78,726.75,1411.03,0
9.44,28.52,36,35000,Not Verified,individual,B,31580.53,4462.36,1042.89,3419.47,0
13.59,25.44,60,30000,Source Verified,individual,C,28199.99,3413.15,1613.14,1800.01,0
6.08,9.39,36,5000,Not Verified,individual,A,4488.26,604.98,93.24,511.74,0
5.32,17,36,13000,Source Verified,individual,A,11655.63,1562.16,217.79,1344.37,0
5.32,19.55,36,12000,Source Verified,individual,A,10759.06,1438.43,197.49,1240.94,0
16.02,17.53,36,10000,Not Verified,individual,C,9109.69,1388.88,498.57,890.31,0
20,26.64,36,10000,Source Verified,individual,D,9159.38,1464.34,623.72,840.62,0
9.44,38.33,60,10000,Verified,individual,B,9334.29,1043.41,377.7,665.71,0
12.61,13.75,60,11500,Source Verified,individual,C,0,11728.1962344596,228.2,11500,0
30.79,24.64,60,20000,Source Verified,individual,G,19243.97,3215.63,2459.6,756.03,0
18.45,27.21,60,15000,Verified,individual,D,14530.97,1138.39,669.36,469.03,0
14.07,29.28,60,40000,Verified,joint,C,38594.07,2765.3,1359.37,1405.93,0
15.04,8.48,60,10000,Not Verified,individual,C,9657.41,705.97,363.38,342.59,0
9.44,1.48,60,40000,Not Verified,individual,B,37337.22,4173.57,1510.79,2662.78,0
6.07,6.25,36,35000,Source Verified,joint,A,32319.97,3185.84,505.81,2680.03,0
5.31,15.41,36,40000,Not Verified,individual,A,36904.08,3589.66,493.74,3095.92,0
9.43,14.59,60,15000,Source Verified,individual,B,14405.42,935.7,341.12,594.58,0
6.72,8.56,36,18000,Source Verified,individual,A,16173.97,2207.24,381.21,1826.03,0
10.41,17,36,12000,Verified,individual,B,11136.26,1161.65,297.91,863.74,0
21.45,12.23,60,20000,Not Verified,individual,D,19224.92,2217.95,1442.87,775.08,0
9.92,8.35,36,6000,Source Verified,individual,B,5565.08,576.83,141.91,434.92,0
10.9,18.83,60,30000,Source Verified,individual,B,28854.82,1934.17,788.99,1145.18,0
10.9,25.99,36,5000,Verified,individual,B,3980.41,1138.16,118.57,1019.59,0
13.59,29.07,36,5000,Not Verified,individual,C,4420.65,865.06,285.71,579.35,0
10.41,6.13,36,17000,Verified,individual,B,15776.38,1635.83,412.21,1223.62,0
6.71,12.78,36,22000,Not Verified,individual,A,20330.58,2012.77,343.35,1669.42,0
15.04,7.34,60,24000,Source Verified,individual,C,23078.46,1774.3,852.76,921.54,0
18.06,37.82,36,20000,Verified,individual,D,17822.13,3578.17,1400.3,2177.87,0
9.44,20.28,36,34000,Source Verified,individual,B,29831.41,5494.35,1325.76,4168.59,0
7.35,19.03,36,15000,Not Verified,individual,A,13491.43,1856.16,347.59,1508.57,0
7.97,15.36,36,15000,Source Verified,individual,A,13504.32,1872.72,377.04,1495.68,0
18.45,16.16,60,10000,Not Verified,individual,D,9687.32,758.92,446.24,312.68,0
15.05,28.49,36,28000,Not Verified,individual,C,25472.33,3838.46,1310.79,2527.67,0
